ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NT0908,Parana flooded savanna,NT,9, ,SA_TeG,SA_TeG
NT0805,Patagonian steppe,NT,8,Patagonian Steppe,SA_TeG,SA_TeG
NT0225,Patia Valley dry forests,NT,2,Tumbesian-Andean Valleys Dry Forests,SA_TrF,SA_TrF
NT0151,Pernambuco coastal forests,NT,1,Atlantic Forests,SA_TrF,SA_TrF
NT0152,Pernambuco interior forests,NT,1,Atlantic Forests,SA_TrF,SA_TrF
NT0153,Peruvian Yungas,NT,1,Central Andean Yungas,AH,AH
NT0154,Peten-Veracruz moist forests,NT,1, ,NA_TrF,NA_TrF
NA0523,Piney Woods forests,NA,5, ,NA_TeF,NA_TeF
NT0226,Puerto Rican dry forests,NT,2, ,N.A.,N.A.
NT0155,Puerto Rican moist forests,NT,1,Greater Antillean Moist Forests,N.A.,N.A.
NA0524,Puget lowland forests,NA,5, ,NA_TeF,NA_TeF
NT0156,Purus varzea,NT,1,Amazon River and Flooded Forests,SA_TrF,SA_TrF
NT0157,Purus-Madeira moist forests,NT,1,Southwestern Amazonian Moist Forests,SA_TrF,SA_TrF
NA0525,Queen Charlotte Islands,NA,5,Pacific temperate rainforests,N.A.,N.A.
NT0158,Rio Negro campinarana,NT,1,Amazon River and Flooded Forests,SA_TrF,SA_TrF
NA,Rock and Ice, ,99, ,N.A.,N.A.
NA,Rock and Ice,NT,99, ,N.A.,N.A.
NT1314,San Lucan xeric scrub,NT,13,Sonoran-Baja Deserts,NA_TeG,NA_TeG
NT0159,Santa Marta montane forests,NT,1,Northern Andean Montane Forests,AH,AH
NT1007,Santa Marta paramo,NT,10,Northern Andean Paramo,SA_TeG,SA_TeG
NT1315,Sechura desert,NT,13,Atacama-Sechura Deserts,SA_TrG,SA_TrG
NT0160,Serra do Mar coastal forests,NT,1,Atlantic Forests,AH,YM
NT0227,Sierra de la Laguna dry forests,NT,2,Southern Mexican Dry Forests,NA_TrF,NA_TrF
NT0307,Sierra de la Laguna pine-oak forests,NT,3,Sierra Madre Oriental and Occidental pine-oak forests,NA_TrF,NA_TrF
NT0161,Sierra de los Tuxtlas,NT,1, ,NA_TrF,NA_TrF
NA0526,Sierra Juarez and San Pedro Martir pine-oak forests,NA,5, ,NA_TeF,NA_TeF
NT0162,Sierra Madre de Chiapas moist forests,NT,1, ,NA_TrF,NA_TrF
NT0308,Sierra Madre de Oaxaca pine-oak forests,NT,3,Mesoamerican Pine-Oak Forests,NA_TrF,NA_TrF
NT0309,Sierra Madre del Sur pine-oak forests,NT,3,Mesoamerican Pine-Oak Forests,NA_TrF,NA_TrF
NA0302,Sierra Madre Occidental pine-oak forests,NA,3,Sierra Madre Oriental and Occidental pine-oak forests,NA_TeF,NA_TeF
NA0303,Sierra Madre Oriental pine-oak forests,NA,3,Sierra Madre Oriental and Occidental pine-oak forests,NA_TeF,NA_TeF
NA0527,Sierra Nevada forests,NA,5,Sierra Nevada Coniferous Forests,NA_TeF,NA_TeF
NT0228,Sinaloan dry forests,NT,2,Southern Mexican Dry Forests,NA_TrF,NA_TrF
NT0229,Sinu Valley dry forests,NT,2, ,SA_TrF,SA_TrF
NA1309,Snake-Columbia shrub steppe,NA,13, ,NA_TeG,NA_TeG
NT0163,Solimoes-Japura moist forests,NT,1,Rio Negro-Jurua Moist Forests,SA_TrF,SA_TrF
